FIPS,Admin2,Province_State,Combined_Key,Population,,,
60,,American Samoa,"American Samoa, US",55641,,,
66,,Guam,"Guam, US",164229,,,
69,,Northern Mariana Islands,"Northern Mariana Islands, US",55144,,,
72,,Puerto Rico,"Puerto Rico, US",2933408,,,
78,,Virgin Islands,"Virgin Islands, US",107268,,,
1001,Autauga,Alabama,"Autauga, Alabama, US",55869,,,
1003,Baldwin,Alabama,"Baldwin, Alabama, US",223234,,,
1005,Barbour,Alabama,"Barbour, Alabama, US",24686,,,
1007,Bibb,Alabama,"Bibb, Alabama, US",22394,,,
1009,Blount,Alabama,"Blount, Alabama, US",57826,,,
1011,Bullock,Alabama,"Bullock, Alabama, US",10101,,,
1013,Butler,Alabama,"Butler, Alabama, US",19448,,,`
1015,Calhoun,Alabama,"Calhoun, Alabama, US",113605,,,
1017,Chambers,Alabama,"Chambers, Alabama, US",33254,,,
1019,Cherokee,Alabama,"Cherokee, Alabama, US",26196,,,
1021,Chilton,Alabama,"Chilton, Alabama, US",44428,,,
1023,Choctaw,Alabama,"Choctaw, Alabama, US",12589,,,
1025,Clarke,Alabama,"Clarke, Alabama, US",23622,,,
1027,Clay,Alabama,"Clay, Alabama, US",13235,,,
1029,Cleburne,Alabama,"Cleburne, Alabama, US",14910,,,
1031,Coffee,Alabama,"Coffee, Alabama, US",52342,,,
1033,Colbert,Alabama,"Colbert, Alabama, US",55241,,,
1035,Conecuh,Alabama,"Conecuh, Alabama, US",12067,,,
1037,Coosa,Alabama,"Coosa, Alabama, US",10663,,,
1039,Covington,Alabama,"Covington, Alabama, US",37049,,,
1041,Crenshaw,Alabama,"Crenshaw, Alabama, US",13772,,,
1043,Cullman,Alabama,"Cullman, Alabama, US",83768,,,
1045,Dale,Alabama,"Dale, Alabama, US",49172,,,
1047,Dallas,Alabama,"Dallas, Alabama, US",37196,,,
1049,DeKalb,Alabama,"DeKalb, Alabama, US",71513,,,
1051,Elmore,Alabama,"Elmore, Alabama, US",81209,,,
1053,Escambia,Alabama,"Escambia, Alabama, US",36633,,,
1055,Etowah,Alabama,"Etowah, Alabama, US",102268,,,
1057,Fayette,Alabama,"Fayette, Alabama, US",16302,,,
1059,Franklin,Alabama,"Franklin, Alabama, US",31362,,,
1061,Geneva,Alabama,"Geneva, Alabama, US",26271,,,
1063,Greene,Alabama,"Greene, Alabama, US",8111,,,
1065,Hale,Alabama,"Hale, Alabama, US",14651,,,
1067,Henry,Alabama,"Henry, Alabama, US",17205,,,
1069,Houston,Alabama,"Houston, Alabama, US",105882,,,
1071,Jackson,Alabama,"Jackson, Alabama, US",51626,,,
1073,Jefferson,Alabama,"Jefferson, Alabama, US",658573,,,
1075,Lamar,Alabama,"Lamar, Alabama, US",13805,,,
1077,Lauderdale,Alabama,"Lauderdale, Alabama, US",92729,,,
1079,Lawrence,Alabama,"Lawrence, Alabama, US",32924,,,
1081,Lee,Alabama,"Lee, Alabama, US",164542,,,
1083,Limestone,Alabama,"Limestone, Alabama, US",98915,,,
1085,Lowndes,Alabama,"Lowndes, Alabama, US",9726,,,
1087,Macon,Alabama,"Macon, Alabama, US",18068,,,
1089,Madison,Alabama,"Madison, Alabama, US",372909,,,
1091,Marengo,Alabama,"Marengo, Alabama, US",18863,,,
1093,Marion,Alabama,"Marion, Alabama, US",29709,,,
1095,Marshall,Alabama,"Marshall, Alabama, US",96774,,,
1097,Mobile,Alabama,"Mobile, Alabama, US",413210,,,
1099,Monroe,Alabama,"Monroe, Alabama, US",20733,,,
1101,Montgomery,Alabama,"Montgomery, Alabama, US",226486,,,
1103,Morgan,Alabama,"Morgan, Alabama, US",119679,,,
1105,Perry,Alabama,"Perry, Alabama, US",8923,,,
1107,Pickens,Alabama,"Pickens, Alabama, US",19930,,,
1109,Pike,Alabama,"Pike, Alabama, US",33114,,,
1111,Randolph,Alabama,"Randolph, Alabama, US",22722,,,
1113,Russell,Alabama,"Russell, Alabama, US",57961,,,
1115,St. Clair,Alabama,"St. Clair, Alabama, US",89512,,,
1117,Shelby,Alabama,"Shelby, Alabama, US",217702,,,
1119,Sumter,Alabama,"Sumter, Alabama, US",12427,,,
1121,Talladega,Alabama,"Talladega, Alabama, US",79978,,,
1123,Tallapoosa,Alabama,"Tallapoosa, Alabama, US",40367,,,
1125,Tuscaloosa,Alabama,"Tuscaloosa, Alabama, US",209355,,,
1127,Walker,Alabama,"Walker, Alabama, US",63521,,,
1129,Washington,Alabama,"Washington, Alabama, US",16326,,,
1131,Wilcox,Alabama,"Wilcox, Alabama, US",10373,,,
1133,Winston,Alabama,"Winston, Alabama, US",23629,,,
2013,Aleutians East,Alaska,"Aleutians East, Alaska, US",3337,,,
2016,Aleutians West,Alaska,"Aleutians West, Alaska, US",5634,,,
2020,Anchorage,Alaska,"Anchorage,Alaska,US",288000,,,
2050,Bethel,Alaska,"Bethel, Alaska, US",18386,,,
2060,Bristol Bay,Alaska,"Bristol Bay, Alaska, US",836,,,
2068,Denali,Alaska,"Denali, Alaska, US",2097,,,
2070,Dillingham,Alaska,"Dillingham, Alaska, US",4916,,,
2090,Fairbanks North Star,Alaska,"Fairbanks North Star,Alaska,US",96849,,,
2100,Haines,Alaska,"Haines, Alaska, US",2530,,,
2105,Hoonah-Angoon,Alaska,"Hoonah-Angoon, Alaska, US",2148,,,
2110,Juneau,Alaska,"Juneau, Alaska, US",31974,,,
2122,Kenai Peninsula,Alaska,"Kenai Peninsula,Alaska,US",58708,,,
2130,Ketchikan Gateway,Alaska,"Ketchikan Gateway, Alaska, US",13901,,,
2150,Kodiak Island,Alaska,"Kodiak Island, Alaska, US",12998,,,
2158,Kusilvak,Alaska,"Kusilvak, Alaska, US",8314,,,
2164,Lake and Peninsula,Alaska,"Lake and Peninsula, Alaska, US",1592,,,
2170,Matanuska-Susitna,Alaska,"Matanuska-Susitna,Alaska,US",108317,,,
2180,Nome,Alaska,"Nome, Alaska, US",10004,,,
2185,North Slope,Alaska,"North Slope, Alaska, US",9832,,,
2188,Northwest Arctic,Alaska,"Northwest Arctic, Alaska, US",7621,,,
2195,Petersburg,Alaska,"Petersburg, Alaska, US",3266,,,
2198,Prince of Wales-Hyder,Alaska,"Prince of Wales-Hyder, Alaska, US",6203,,,
2220,Sitka,Alaska,"Sitka, Alaska, US",8493,,,
2230,Skagway,Alaska,"Skagway, Alaska, US",1183,,,
2240,Southeast Fairbanks,Alaska,"Southeast Fairbanks, Alaska, US",6893,,,
2261,Valdez-Cordova,Alaska,"Valdez-Cordova, Alaska, US",9202,,,
2275,Wrangell,Alaska,"Wrangell, Alaska, US",2502,,,
2282,Yakutat,Alaska,"Yakutat, Alaska, US",579,,,
2290,Yukon-Koyukuk,Alaska,"Yukon-Koyukuk, Alaska, US",5230,,,
4001,Apache,Arizona,"Apache, Arizona, US",71887,,,
4003,Cochise,Arizona,"Cochise, Arizona, US",125922,,,
4005,Coconino,Arizona,"Coconino, Arizona, US",143476,,,
4007,Gila,Arizona,"Gila, Arizona, US",54018,,,
4009,Graham,Arizona,"Graham, Arizona, US",38837,,,
4011,Greenlee,Arizona,"Greenlee, Arizona, US",9498,,,
4012,La Paz,Arizona,"La Paz, Arizona, US",21108,,,
4013,Maricopa,Arizona,"Maricopa, Arizona, US",4485414,,,
4015,Mohave,Arizona,"Mohave, Arizona, US",212181,,,
4017,Navajo,Arizona,"Navajo, Arizona, US",110924,,,
4019,Pima,Arizona,"Pima, Arizona, US",1047279,,,
4021,Pinal,Arizona,"Pinal, Arizona, US",462789,,,
4023,Santa Cruz,Arizona,"Santa Cruz, Arizona, US",46498,,,
4025,Yavapai,Arizona,"Yavapai, Arizona, US",235099,,,
4027,Yuma,Arizona,"Yuma, Arizona, US",213787,,,
5001,Arkansas,Arkansas,"Arkansas, Arkansas, US",17486,,,
5003,Ashley,Arkansas,"Ashley, Arkansas, US",19657,,,
5005,Baxter,Arkansas,"Baxter, Arkansas, US",41932,,,
5007,Benton,Arkansas,"Benton, Arkansas, US",279141,,,
5009,Boone,Arkansas,"Boone, Arkansas, US",37432,,,
5011,Bradley,Arkansas,"Bradley, Arkansas, US",10763,,,
5013,Calhoun,Arkansas,"Calhoun, Arkansas, US",5189,,,
5015,Carroll,Arkansas,"Carroll, Arkansas, US",28380,,,
5017,Chicot,Arkansas,"Chicot, Arkansas, US",10118,,,
5019,Clark,Arkansas,"Clark, Arkansas, US",22320,,,
5021,Clay,Arkansas,"Clay, Arkansas, US",14551,,,
5023,Cleburne,Arkansas,"Cleburne, Arkansas, US",24919,,,
5025,Cleveland,Arkansas,"Cleveland, Arkansas, US",7956,,,
5027,Columbia,Arkansas,"Columbia, Arkansas, US",23457,,,
5029,Conway,Arkansas,"Conway, Arkansas, US",20846,,,
5031,Craighead,Arkansas,"Craighead, Arkansas, US",110332,,,
5033,Crawford,Arkansas,"Crawford, Arkansas, US",63257,,,
5035,Crittenden,Arkansas,"Crittenden, Arkansas, US",47955,,,
5037,Cross,Arkansas,"Cross, Arkansas, US",16419,,,
5039,Dallas,Arkansas,"Dallas, Arkansas, US",7009,,,
5041,Desha,Arkansas,"Desha, Arkansas, US",11361,,,
5043,Drew,Arkansas,"Drew, Arkansas, US",18219,,,
5045,Faulkner,Arkansas,"Faulkner, Arkansas, US",126007,,,
5047,Franklin,Arkansas,"Franklin, Arkansas, US",17715,,,
5049,Fulton,Arkansas,"Fulton, Arkansas, US",12477,,,
5051,Garland,Arkansas,"Garland, Arkansas, US",99386,,,
5053,Grant,Arkansas,"Grant, Arkansas, US",18265,,,
5055,Greene,Arkansas,"Greene, Arkansas, US",45325,,,
5057,Hempstead,Arkansas,"Hempstead, Arkansas, US",21532,,,
5059,Hot Spring,Arkansas,"Hot Spring, Arkansas, US",33771,,,
5061,Howard,Arkansas,"Howard, Arkansas, US",13202,,,
5063,Independence,Arkansas,"Independence, Arkansas, US",37825,,,
5065,Izard,Arkansas,"Izard, Arkansas, US",13629,,,
5067,Jackson,Arkansas,"Jackson, Arkansas, US",16719,,,
5069,Jefferson,Arkansas,"Jefferson, Arkansas, US",66824,,,
5071,Johnson,Arkansas,"Johnson, Arkansas, US",26578,,,
5073,Lafayette,Arkansas,"Lafayette, Arkansas, US",6624,,,
5075,Lawrence,Arkansas,"Lawrence, Arkansas, US",16406,,,
5077,Lee,Arkansas,"Lee, Arkansas, US",8857,,,
5079,Lincoln,Arkansas,"Lincoln, Arkansas, US",13024,,,
5081,Little River,Arkansas,"Little River, Arkansas, US",12259,,,
5083,Logan,Arkansas,"Logan, Arkansas, US",21466,,,
5085,Lonoke,Arkansas,"Lonoke, Arkansas, US",73309,,,
5087,Madison,Arkansas,"Madison, Arkansas, US",16576,,,
5089,Marion,Arkansas,"Marion, Arkansas, US",16694,,,
5091,Miller,Arkansas,"Miller, Arkansas, US",43257,,,
5093,Mississippi,Arkansas,"Mississippi, Arkansas, US",40651,,,
5095,Monroe,Arkansas,"Monroe, Arkansas, US",6701,,,
5097,Montgomery,Arkansas,"Montgomery, Arkansas, US",8986,,,
5099,Nevada,Arkansas,"Nevada, Arkansas, US",8252,,,
5101,Newton,Arkansas,"Newton, Arkansas, US",7753,,,
5103,Ouachita,Arkansas,"Ouachita, Arkansas, US",23382,,,
5105,Perry,Arkansas,"Perry, Arkansas, US",10455,,,
5107,Phillips,Arkansas,"Phillips, Arkansas, US",17782,,,
5109,Pike,Arkansas,"Pike, Arkansas, US",10718,,,
5111,Poinsett,Arkansas,"Poinsett, Arkansas, US",23528,,,
5113,Polk,Arkansas,"Polk, Arkansas, US",19964,,,
5115,Pope,Arkansas,"Pope, Arkansas, US",64072,,,
5117,Prairie,Arkansas,"Prairie, Arkansas, US",8062,,,
5119,Pulaski,Arkansas,"Pulaski, Arkansas, US",391911,,,
5121,Randolph,Arkansas,"Randolph, Arkansas, US",17958,,,
5123,St. Francis,Arkansas,"St. Francis, Arkansas, US",24994,,,
5125,Saline,Arkansas,"Saline, Arkansas, US",122437,,,
5127,Scott,Arkansas,"Scott, Arkansas, US",10281,,,
5129,Searcy,Arkansas,"Searcy, Arkansas, US",7881,,,
5131,Sebastian,Arkansas,"Sebastian, Arkansas, US",127827,,,
5133,Sevier,Arkansas,"Sevier, Arkansas, US",17007,,,
5135,Sharp,Arkansas,"Sharp, Arkansas, US",17442,,,
5137,Stone,Arkansas,"Stone, Arkansas, US",12506,,,
5139,Union,Arkansas,"Union, Arkansas, US",38682,,,
5141,Van Buren,Arkansas,"Van Buren, Arkansas, US",16545,,,
5143,Washington,Arkansas,"Washington, Arkansas, US",239187,,,
5145,White,Arkansas,"White, Arkansas, US",78753,,,
5147,Woodruff,Arkansas,"Woodruff, Arkansas, US",6320,,,
5149,Yell,Arkansas,"Yell, Arkansas, US",21341,,,
6001,Alameda,California,"Alameda, California, US",1671329,,,
6003,Alpine,California,"Alpine, California, US",1129,,,
6005,Amador,California,"Amador, California, US",39752,,,
6007,Butte,California,"Butte, California, US",219186,,,
6009,Calaveras,California,"Calaveras, California, US",45905,,,
6011,Colusa,California,"Colusa, California, US",21547,,,
6013,Contra Costa,California,"Contra Costa, California, US",1153526,,,
6015,Del Norte,California,"Del Norte, California, US",27812,,,
6017,El Dorado,California,"El Dorado, California, US",192843,,,
6019,Fresno,California,"Fresno, California, US",999101,,,
6021,Glenn,California,"Glenn, California, US",28393,,,
6023,Humboldt,California,"Humboldt, California, US",135558,,,
6025,Imperial,California,"Imperial, California, US",181215,,,
6027,Inyo,California,"Inyo, California, US",18039,,,
6029,Kern,California,"Kern, California, US",900202,,,
6031,Kings,California,"Kings, California, US",152940,,,
6033,Lake,California,"Lake, California, US",64386,,,
6035,Lassen,California,"Lassen, California, US",30573,,,
6037,Los Angeles,California,"Los Angeles, California, US",10039107,,,
6039,Madera,California,"Madera, California, US",157327,,,
6041,Marin,California,"Marin, California, US",258826,,,
6043,Mariposa,California,"Mariposa, California, US",17203,,,
6045,Mendocino,California,"Mendocino, California, US",86749,,,
6047,Merced,California,"Merced, California, US",277680,,,
6049,Modoc,California,"Modoc, California, US",8841,,,
6051,Mono,California,"Mono, California, US",14444,,,
6053,Monterey,California,"Monterey, California, US",434061,,,
6055,Napa,California,"Napa, California, US",137744,,,
6057,Nevada,California,"Nevada, California, US",99755,,,
6059,Orange,California,"Orange, California, US",3175692,,,
6061,Placer,California,"Placer, California, US",398329,,,
6063,Plumas,California,"Plumas, California, US",18807,,,
6065,Riverside,California,"Riverside, California, US",2470546,,,
6067,Sacramento,California,"Sacramento, California, US",1552058,,,
6069,San Benito,California,"San Benito, California, US",62808,,,
6071,San Bernardino,California,"San Bernardino, California, US",2180085,,,
6073,San Diego,California,"San Diego, California, US",3338330,,,
6075,San Francisco,California,"San Francisco, California, US",881549,,,
6077,San Joaquin,California,"San Joaquin, California, US",762148,,,
6079,San Luis Obispo,California,"San Luis Obispo, California, US",283111,,,
6081,San Mateo,California,"San Mateo, California, US",766573,,,
6083,Santa Barbara,California,"Santa Barbara, California, US",446499,,,
6085,Santa Clara,California,"Santa Clara, California, US",1927852,,,
6087,Santa Cruz,California,"Santa Cruz, California, US",273213,,,
6089,Shasta,California,"Shasta, California, US",180080,,,
6091,Sierra,California,"Sierra, California, US",3005,,,
6093,Siskiyou,California,"Siskiyou, California, US",43539,,,
6095,Solano,California,"Solano, California, US",447643,,,
6097,Sonoma,California,"Sonoma, California, US",494336,,,
6099,Stanislaus,California,"Stanislaus, California, US",550660,,,
6101,Sutter,California,"Sutter, California, US",96971,,,
6103,Tehama,California,"Tehama, California, US",65084,,,
