Rank,name,population
1,China,1439323776
2,India,1380004385
3,United States of America,331002651
4,Indonesia,273523615
5,Pakistan,220892340
6,Brazil,212559417
7,Nigeria,206139589
8,Bangladesh,164689383
9,Russia,145934462
10,Mexico,128932753
11,Japan,126476461
12,Ethiopia,114963588
13,Philippines,109581078
14,Egypt,102334404
15,Vietnam,97338579
16,Democratic Republic of the Congo,89561403
17,Germany,83783942
18,Turkey,84339067
19,Iran,83992949
20,Thailand,69799978
21,United Kingdom,67886011
22,France,65273511
23,Italy,60461826
24,South Africa,59308690
25,United Republic of Tanzania,59734218
26,Myanmar,54409800
27,Kenya,53771296
28,South Korea,51269185
29,Colombia,50882891
30,Spain,46754778
31,Argentina,45195774
32,Uganda,45741007
33,Ukraine,43733762
34,Algeria,43851044
35,Sudan,43849260
36,Iraq,40222493
37,Afghanistan,38928346
38,Poland,37846611
39,Canada,37742154
40,Morocco,36910560
41,Saudi Arabia,34813871
42,Uzbekistan,33469203
43,Peru,32971854
44,Malaysia,32365999
45,Angola,32866272
46,Ghana,31072940
47,Mozambique,31255435
48,Yemen,29825964
49,Nepal,29136808
50,Venezuela,28435940
51,Madagascar,27691018
52,Cameroon,26545863
53,Ivory Coast,26378274
54,North Korea,25778816
55,Australia,25499884
56,Taiwan,23816775
57,Niger,24206644
58,Sri Lanka,21413249
59,Burkina Faso,20903273
60,Mali,20250833
61,Romania,19237691
62,Chile,19116201
63,Malawi,19129952
64,Kazakhstan,18776707
65,Zambia,18383955
66,Guatemala,17915568
67,Ecuador,17643054
68,Netherlands,17134872
69,Syria,17500658
70,Cambodia,16718965
71,Senegal,16743927
72,Chad,16425864
73,Somalia,15893222
74,Zimbabwe,14862924
75,Guinea,13132795
76,Rwanda,12952218
77,Benin,12123200
78,Tunisia,11818619
79,Belgium,11589623
80,Burundi,11890784
81,Bolivia,11673021
82,Cuba,11326616
83,Haiti,11402528
84,South Sudan,11193725
85,Dominican Republic,10847910
86,Czech Republic,10708981
87,Greece,10423054
88,Portugal,10196709
89,Jordan,10203134
90,Azerbaijan,10139177
91,Sweden,10099265
92,United Arab Emirates,9890402
93,Honduras,9904607
94,Hungary,9660351
95,Belarus,9449323
96,Tajikistan,9537645
97,Austria,9006398
98,Papua New Guinea,8947024
99,Serbia,8737371
100,Switzerland,8654622
101,Israel,8655535
102,Togo,8278724
103,Sierra Leone,7976983
104,Hong Kong,7496981
105,Laos,7275560
106,Paraguay,7132538
107,Bulgaria,6948445
108,Lebanon,6825445
109,Libya,6871292
110,Nicaragua,6624554
111,El Salvador,6486205
112,Kyrgyzstan,6524195
113,Turkmenistan,6031200
114,Singapore,5850342
115,Denmark,5792202
116,Finland,5540720
117,Slovakia,5459642
118,Republic of the Congo,5518087
119,Norway,5421241
120,Costa Rica,5094118
121,West Bank,5101414
122,Oman,5106626
123,Liberia,5057681
124,Ireland,4937786
125,New Zealand,4822233
126,Central African Republic,4829767
127,Mauritania,4649658
128,Panama,4314767
129,Kuwait,4270571
130,Croatia,4105267
131,Moldova,4033963
132,Georgia,3989167
133,Eritrea,3546421
134,Uruguay,3473730
135,Bosnia and Herzegovina,3280819
136,Mongolia,3278290
137,Armenia,2963243
138,Jamaica,2961167
139,Puerto Rico,2860853
140,Albania,2877797
141,Qatar,2881053
142,Lithuania,2722289
143,Namibia,2540905
144,Gambia,2416668
145,Botswana,2351627
146,Gabon,2225734
147,Lesotho,2142249
148,Macedonia,2083374
149,Slovenia,2078938
150,Guinea Bissau,1968001
151,Kosovo,1870981
152,Latvia,1886198
153,Bahrain,1701575
154,Trinidad and Tobago,1399488
155,Equatorial Guinea,1402985
156,Estonia,1326535
157,East Timor,1318445
158,Mauritius,1271768
159,Cyprus,1207359
160,Swaziland,1160164
161,Djibouti,988000
162,Fiji,896445
163,Reunion,895312
164,Comoros,869601
165,Guyana,786552
166,Bhutan,771608
167,Solomon Islands,686884
168,Macau,649335
169,Montenegro,628066
170,Luxembourg,625978
171,Western Sahara,597339
172,Suriname,586632
173,Cape Verde,555987
174,Maldives,540544
175,Malta,441543
176,Brunei,437479
177,Guadeloupe,400124
178,Belize,397628
179,The Bahamas,393244
180,Martinique,375265
181,Iceland,341243
182,Vanuatu,307145
183,French Guiana,298682
184,Barbados,287375
185,New Caledonia,285498
186,French Polynesia,280908
187,Mayotte,272815
188,Sao Tome and Principe,219159
189,Samoa,198414
190,Saint Lucia,183627
191,Guam,168775
192,Curacao,164093
193,Kiribati,119449
194,Micronesia,115023
195,Grenada,112523
196,Saint Vincent and the Grenadines,110940
197,Aruba,106766
198,United States Virgin Islands,104425
199,Tonga,105695
200,Seychelles,98347
201,Antigua and Barbuda,97929
202,Isle of Man,85033
203,Andorra,77265
204,Dominica,71986
205,Cayman Islands,65722
206,Bermuda,62278
207,Marshall Islands,59190
208,Northern Mariana Islands,57559
209,Greenland,56770
210,American Samoa,55191
211,Saint Kitts and Nevis,53199
212,Faroe Islands,48863
213,Sint Maarten,42876
214,Monaco,39242
215,Turks and Caicos Islands,38717
216,Liechtenstein,38128
217,Saint Martin,38666
218,San Marino,33931
219,Gibraltar,33691
220,British Virgin Islands,30231
221,Palau,18094
222,Cook Islands,17564
223,Anguilla,15003
224,Tuvalu,11792
225,Wallis and Futuna,11239
226,Nauru,10824
227,Saint Barthélemy,9877
228,Saint Pierre and Miquelon,5794
229,Montserrat,4992
230,Falkland Islands,3480
231,Niue,1626
232,Tokelau,1357
233,Vatican,801
